Period,Total
Jan-00,49045412
Feb-00,49306303
Mar-00,60443541
Apr-00,58286680
May-00,60533783
Jun-00,64903295
Jul-00,67346377
Aug-00,66256804
Sep-00,55900504
Oct-00,58373996
Nov-00,55590325
Dec-00,54822970
Jan-01,52634354
Feb-01,49532578
Mar-01,61575055
Apr-01,59151645
May-01,59662416
Jun-01,64353323
Jul-01,67965241
Aug-01,68376612
Sep-01,38601717
Oct-01,43964770
Nov-01,44915764
Dec-01,47819118
Jan-02,46224031
Feb-02,44604154
Mar-02,56897722
Apr-02,52542164
May-02,55116060
Jun-02,59745334
Jul-02,62664504
Aug-02,62944802
Sep-02,49096033
Oct-02,54019748
Nov-02,50105232
Dec-02,56656594
Jan-03,51197175
Feb-03,47040806
Mar-03,56765848
Apr-03,51857179
May-03,54335598
Jun-03,60272900
Jul-03,65962215
Aug-03,64989766
Sep-03,52121480
Oct-03,56724442
Nov-03,54128776
Dec-03,58739845
Jan-04,53979780
Feb-04,53179685
Mar-04,64035863
Apr-04,62340117
May-04,62530704
Jun-04,68866389
Jul-04,73335888
Aug-04,70961513
Sep-04,57881031
Oct-04,63021122
Nov-04,59453941
Dec-04,62680310
Jan-05,59629608
Feb-05,55795165
Mar-05,70595861
Apr-05,65145550
May-05,68268899
Jun-05,72952958
Jul-05,77432998
Aug-05,73778917
Sep-05,62046797
Oct-05,63640895
Nov-05,61518984
Dec-05,64289340
Jan-06,61035027
Feb-06,56729212
Mar-06,70799794
Apr-06,68120558
May-06,69352605
Jun-06,74085927
Jul-06,77798585
Aug-06,74227040
Sep-06,62345732
Oct-06,66082158
Nov-06,63548729
Dec-06,65980779
Jan-07,63016013
Feb-07,57793832
Mar-07,72700241
Apr-07,69836156
May-07,71933109
Jun-07,76926452
Jul-07,80988340
Aug-07,79439827
Sep-07,65913298
Oct-07,69445349
Nov-07,66250428
Dec-07,67782533
Jan-08,64667106
Feb-08,61504426
Mar-08,74575531
Apr-08,68906881
May-08,72725749
Jun-08,76162104
Jul-08,79707545
Aug-08,77300567
Sep-08,61198749
Oct-08,65018204
Nov-08,58512623
Dec-08,63503416
Jan-09,58373783
Feb-09,53506580
Mar-09,66027341
Apr-09,65166298
May-09,65868253
Jun-09,71350226
Jul-09,77136797
Aug-09,74614770
Sep-09,61435354
Oct-09,64274739
Nov-09,59011015
Dec-09,63231672
Jan-10,59651061
Feb-10,53240065
Mar-10,68307089
Apr-10,64953249
May-10,68850904
Jun-10,74474550
Jul-10,79304441
Aug-10,76741308
Sep-10,65341294
Oct-10,69071625
Nov-10,63334290
Dec-10,65797939
Jan-11,61630362
Feb-11,55391206
Mar-11,70158268
Apr-11,67683558
May-11,71711447
Jun-11,76057910
Jul-11,81423230
Aug-11,77247893
Sep-11,66345317
Oct-11,68177878
Nov-11,63492941
Dec-11,66595642
Jan-12,61940192
Feb-12,58243794
Mar-12,71696202
Apr-12,68668302
May-12,71887531
Jun-12,76760758
Jul-12,80499331
Aug-12,78609006
Sep-12,66007760
Oct-12,67677764
Nov-12,64039209
Dec-12,66702988
Jan-13,63139218
Feb-13,58109870
Mar-13,72764478
Apr-13,68453537
May-13,73574534
Jun-13,78467131
Jul-13,81974582
Aug-13,80007788
Sep-13,67203059
Oct-13,69727370
Nov-13,63611195
Dec-13,70967038
Jan-14,64743622
Feb-14,58474895
Mar-14,74237172
Apr-14,71278692
May-14,75712694
Jun-14,80063355
Jul-14,84404541
Aug-14,81957559
Sep-14,69028857
Oct-14,71887841
Nov-14,65654285
Dec-14,72233639
Jan-15,66538427
Feb-15,60331343
Mar-15,76271051
Apr-15,73607258
May-15,78502353
Jun-15,83253406
Jul-15,88951665
Aug-15,85855967
Sep-15,73017729
Oct-15,76678056
Nov-15,70460064
Dec-15,75327875
Jan-16,69778658
Feb-16,65026219
Mar-16,79121758
Apr-16,75617423
May-16,81226985
Jun-16,87042101
Jul-16,91256833
Aug-16,86708517
Sep-16,75735169
Oct-16,77790769
Nov-16,72625058
Dec-16,77310977
Jan-17,71876269
Feb-17,64666059
Mar-17,81311996
Apr-17,79935852
May-17,83939004
Jun-17,90130481
Jul-17,94641122
Aug-17,90980861
Sep-17,75092288
Oct-17,81168038
Nov-17,76124199
Dec-17,80037670
Jan-18,73795632
Feb-18,68674042
Mar-18,86103036
Apr-18,83009398
May-18,88525057
Jun-18,94917274
Jul-18,99373375
Aug-18,95268223
Sep-18,79470508
Oct-18,84870973
Nov-18,79928178
Dec-18,83057947
Jan-19,77339889
Feb-19,71123686
Mar-19,90478105
Apr-19,86684140
May-19,92977218
Jun-19,98273551
Jul-19,102295052
Aug-19,98411627
Sep-19,83813961
Oct-19,88208131
Nov-19,81010193
Dec-19,90389583
Jan-20,81537476
Feb-20,74428909
